MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20251230,MA,23.94,76.06,35.79,4.29,0.00,0.00,2025-12-30,2026-01-05,1
20251223,MA,36.71,63.29,28.33,4.29,0.00,0.00,2025-12-23,2025-12-29,1
20251216,MA,36.71,63.29,28.33,4.83,0.00,0.00,2025-12-16,2025-12-22,1
20251209,MA,47.55,52.45,28.36,0.00,0.00,0.00,2025-12-09,2025-12-15,1
20251202,MA,47.55,52.45,28.36,0.00,0.00,0.00,2025-12-02,2025-12-08,1
20251125,MA,47.55,52.45,28.36,0.00,0.00,0.00,2025-11-25,2025-12-01,1
20251118,MA,41.52,58.48,28.85,0.00,0.00,0.00,2025-11-18,2025-11-24,1
20251111,MA,39.41,60.59,29.82,0.00,0.00,0.00,2025-11-11,2025-11-17,1
20251104,MA,37.21,62.79,31.58,0.00,0.00,0.00,2025-11-04,2025-11-10,1
20251028,MA,25.15,74.85,42.80,0.00,0.00,0.00,2025-10-28,2025-11-03,1
20251021,MA,25.09,74.91,42.81,0.00,0.00,0.00,2025-10-21,2025-10-27,1
20251014,MA,16.35,83.65,42.33,0.00,0.00,0.00,2025-10-14,2025-10-20,1
20251007,MA,0.00,100.00,45.16,2.71,0.00,0.00,2025-10-07,2025-10-13,1
20250930,MA,0.28,99.72,26.11,2.12,0.00,0.00,2025-09-30,2025-10-06,1
20250923,MA,0.00,100.00,19.39,0.03,0.00,0.00,2025-09-23,2025-09-29,1
20250916,MA,32.94,67.06,16.01,0.00,0.00,0.00,2025-09-16,2025-09-22,1
20250909,MA,36.64,63.36,16.01,0.00,0.00,0.00,2025-09-09,2025-09-15,1
20250902,MA,36.56,63.44,15.22,0.00,0.00,0.00,2025-09-02,2025-09-08,1
20250826,MA,36.56,63.44,14.86,0.00,0.00,0.00,2025-08-26,2025-09-01,1
20250819,MA,34.42,65.58,5.42,0.00,0.00,0.00,2025-08-19,2025-08-25,1
20250812,MA,52.95,47.05,5.42,0.00,0.00,0.00,2025-08-12,2025-08-18,1
20250805,MA,78.85,21.15,4.98,0.00,0.00,0.00,2025-08-05,2025-08-11,1
20250729,MA,81.61,18.39,4.98,0.00,0.00,0.00,2025-07-29,2025-08-04,1
20250722,MA,83.26,16.74,4.98,0.00,0.00,0.00,2025-07-22,2025-07-28,1
20250715,MA,83.26,16.74,4.98,0.00,0.00,0.00,2025-07-15,2025-07-21,1
20250708,MA,71.72,28.28,4.98,0.00,0.00,0.00,2025-07-08,2025-07-14,1
20250701,MA,88.32,11.68,4.98,0.00,0.00,0.00,2025-07-01,2025-07-07,1
20250624,MA,92.80,7.20,3.61,0.00,0.00,0.00,2025-06-24,2025-06-30,1
20250617,MA,92.80,7.20,3.61,0.00,0.00,0.00,2025-06-17,2025-06-23,1
20250610,MA,92.80,7.20,3.61,0.00,0.00,0.00,2025-06-10,2025-06-16,1
20250603,MA,92.80,7.20,3.61,0.00,0.00,0.00,2025-06-03,2025-06-09,1
20250527,MA,92.80,7.20,3.61,0.00,0.00,0.00,2025-05-27,2025-06-02,1
20250520,MA,60.04,39.96,5.54,0.00,0.00,0.00,2025-05-20,2025-05-26,1
20250513,MA,37.95,62.05,12.48,0.00,0.00,0.00,2025-05-13,2025-05-19,1
20250506,MA,20.53,79.47,17.97,0.00,0.00,0.00,2025-05-06,2025-05-12,1
20250429,MA,7.35,92.65,48.79,0.00,0.00,0.00,2025-04-29,2025-05-05,1
20250422,MA,5.95,94.05,50.46,0.00,0.00,0.00,2025-04-22,2025-04-28,1
20250415,MA,5.95,94.05,50.51,0.00,0.00,0.00,2025-04-15,2025-04-21,1
20250408,MA,5.74,94.26,55.65,0.00,0.00,0.00,2025-04-08,2025-04-14,1
20250401,MA,0.00,100.00,56.26,0.00,0.00,0.00,2025-04-01,2025-04-07,1
20250325,MA,0.00,100.00,56.26,0.00,0.00,0.00,2025-03-25,2025-03-31,1
