MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260505,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-05-05,2026-05-11,1
20260428,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-04-28,2026-05-04,1
20260421,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-04-21,2026-04-27,1
20260414,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-04-14,2026-04-20,1
20260407,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-04-07,2026-04-13,1
20260331,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-31,2026-04-06,1
20260324,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-24,2026-03-30,1
20260317,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-17,2026-03-23,1
20260310,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-10,2026-03-16,1
20260303,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-03,2026-03-09,1
20260224,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-24,2026-03-02,1
20260217,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-17,2026-02-23,1
20260210,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-10,2026-02-16,1
20260203,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-03,2026-02-09,1
20260127,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-01-27,2026-02-02,1
20260120,25001,Barnstable County,MA,0.00,100.00,100.00,0.00,0.00,0.00,2026-01-20,2026-01-26,1
20260113,25001,Barnstable County,MA,0.00,100.00,99.97,0.00,0.00,0.00,2026-01-13,2026-01-19,1
20260106,25001,Barnstable County,MA,0.00,100.00,45.22,0.00,0.00,0.00,2026-01-06,2026-01-12,1
20251230,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-12-30,2026-01-05,1
20251223,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-12-23,2025-12-29,1
20251216,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-12-16,2025-12-22,1
20251209,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-12-09,2025-12-15,1
20251202,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-12-02,2025-12-08,1
20251125,25001,Barnstable County,MA,25.41,74.59,45.22,0.00,0.00,0.00,2025-11-25,2025-12-01,1
20251118,25001,Barnstable County,MA,38.63,61.37,45.22,0.00,0.00,0.00,2025-11-18,2025-11-24,1
20251111,25001,Barnstable County,MA,18.91,81.09,45.22,0.00,0.00,0.00,2025-11-11,2025-11-17,1
20251104,25001,Barnstable County,MA,18.91,81.09,45.22,0.00,0.00,0.00,2025-11-04,2025-11-10,1
20251028,25001,Barnstable County,MA,18.91,81.09,45.22,0.00,0.00,0.00,2025-10-28,2025-11-03,1
20251021,25001,Barnstable County,MA,18.91,81.09,45.22,0.00,0.00,0.00,2025-10-21,2025-10-27,1
20251014,25001,Barnstable County,MA,11.40,88.60,45.22,0.00,0.00,0.00,2025-10-14,2025-10-20,1
20251007,25001,Barnstable County,MA,0.00,100.00,88.04,42.04,0.00,0.00,2025-10-07,2025-10-13,1
20250930,25001,Barnstable County,MA,0.00,100.00,88.04,41.96,0.00,0.00,2025-09-30,2025-10-06,1
20250923,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-09-23,2025-09-29,1
20250916,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-09-16,2025-09-22,1
20250909,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-09-09,2025-09-15,1
20250902,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-09-02,2025-09-08,1
20250826,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-08-26,2025-09-01,1
20250819,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-08-19,2025-08-25,1
20250812,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-08-12,2025-08-18,1
20250805,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-08-05,2025-08-11,1
20250729,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-07-29,2025-08-04,1
20250722,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-07-22,2025-07-28,1
20250715,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-07-15,2025-07-21,1
20250708,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-07-08,2025-07-14,1
20250701,25001,Barnstable County,MA,0.00,100.00,88.04,0.00,0.00,0.00,2025-07-01,2025-07-07,1
20250624,25001,Barnstable County,MA,0.00,100.00,60.59,0.00,0.00,0.00,2025-06-24,2025-06-30,1
20250617,25001,Barnstable County,MA,0.00,100.00,60.59,0.00,0.00,0.00,2025-06-17,2025-06-23,1
20250610,25001,Barnstable County,MA,0.00,100.00,60.59,0.00,0.00,0.00,2025-06-10,2025-06-16,1
20250603,25001,Barnstable County,MA,0.00,100.00,60.59,0.00,0.00,0.00,2025-06-03,2025-06-09,1
20250527,25001,Barnstable County,MA,0.00,100.00,60.59,0.00,0.00,0.00,2025-05-27,2025-06-02,1
20250520,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-05-20,2025-05-26,1
20250513,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-05-13,2025-05-19,1
20250506,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-05-06,2025-05-12,1
20250429,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-04-29,2025-05-05,1
20250422,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-04-22,2025-04-28,1
20250415,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-04-15,2025-04-21,1
20250408,25001,Barnstable County,MA,0.00,100.00,99.14,0.00,0.00,0.00,2025-04-08,2025-04-14,1
